Price_per_month,Agent,Beds,Baths,Size_m2,Details
110.000,Developpe Toi,1,1,15.00,Le quartier est bitumé et accessible. Une pièce de vie pour passer des moments spéciaux. Une cour avant. Une cour arrière. Une cuisine pour cuisiner des plats s...
240.000,Developpe Toi,2,2,15.00,Un appartement de 3 PCS situé dans un immeuble au deuxième étage. Un salon. Un balcon. Une cuisine. Deux chambres dont une autonome. Une douche visiteur. Des co...
150.000,WCE,3,3.5,250.00,"La villa se trouve dans le paisible quartier de la Riviera 3 non loin des Ẻcoles et Lycées Internationaux, Blaise Pascal, Jacques Prévert, Jean Mermoz et ICSA e..."
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,50.00,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE...
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,9.00,"Résidence Saphir Marcory dans la belle cité de Hibiscus une 2 pièces dans une cité calme, propre et sécurisée avec toutes les commodités. PRIX: 25.000 par jour..."
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,9.00,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE...
1.500.000,IKIMMOBILIERCOTEDIVOIRE,5,3,300.00,Cocody Riviera 4. Cité Ciad Primo. Zone Ecole Libannaise. Une belle villa duplex d’un excellent standing. 6 Pieces: 1 Sejour/salle a manger 5 chambres aut...
1.500.000,IKIMMOBILIERCOTEDIVOIRE,5,2,350.00,MAISON VUE SUR LA MER A LOUER AVEC LES MEUBLES VILLA DUPLEX 7 PIÈCES • 2 chambres (lits King) • 2 chambres (lits Queen) • Vu sur la mer • 1 salon • 2 dépendance...
5.000.000,IKIMMOBILIERCOTEDIVOIRE,6,3,350.00,"Riviera Golf 4 Duplex de standing (7 pièces) super spacieux en location à COCODY Riviera Golf 4 dans un secteur hautement sécurisé et très résidentiel. Jardin,..."
250.000,Developpe Toi,2,3,150.00,Un quartier bitumé et accessible. Un appartement situé au deuxième étage d’un immeuble. Un salon. Un balcon. Une cuisine. Deux chambres autonomes. Une douche vi...
30.000,Developpe Toi,1,2,100.00,Une douche visiteur. Une chambre autonome. Un salon. Une cuisine. Un balcon. Des centres commerciaux. Une salle de sport dans le quartier. Des salons de coiffur...
1.500.000,Markoff,3,3,100.00,"[ A LOUER ] 🏢Nous mettons en location un appartement meublé de haut standing 4 pièces entièrement équipé, situé dans un immeuble avec ascenseur. ➡️ TV dans tout..."
70.000,Markoff,2,2,100.00,"[ A LOUER ] 🏢Nous mettons en location un appartement meublé 3 pièces entièrement équipé, situé dans un quartier sécurisé. ➡️ 1 Grand salon ➡️ 2 Chambres dont 1..."
800.000,IKIMMOBILIERCOTEDIVOIRE,4,2,150.00,Cocody Riviera 3. Cité Selmer. Une villa duplex de 5 pieces: 1 sejour/salle a manger. 4 chambres. Une Cour Avant et arriere. Une terrasses. Un Garages une place...
50.000,IKIMMOBILIERCOTEDIVOIRE,1,1,150.00,Résidence Meublée de 2 pièces située a Bietry avec une piscine commune et toutes les commodités. Prix Journalier: 50.000F Négociable pour long séjour. NB: La ré...
70.000,IKIMMOBILIERCOTEDIVOIRE,2,2,175.00,RIVIERA GOLF F3- 9è en résidence meublé parking privé-5 pers -2 chambres climatisées idéal pour moyens et longs séjours. familiale ou prof-ascenseur-terasse séc...
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,92.00,"RESIDENCE SAPHIR SITUE AU PETIT MARCHE DE MARCORY AVEC PARKING, ASCENSEUR, WIFI ET UN ABONNEMENT NETFLIX PRIX: 25000 NEGOCIABLE POUR LONG SEJOUR ☎️: 2734770473..."
20.000,IKIMMOBILIERCOTEDIVOIRE,1,1,92.00,RESIDENCE SAPHIR EBATHE SITUE A MARCORY EN FACE DE LA PHARMACIE EBATHE AVEC WIFI ET UN ABONNEMENT NETFLIX PRIX: 20.000 NEGOCIABLE POUR LONG SEJOUR.
2.500.000,Christelle TOURE,4,4,"1,000.00",Duplex de 05 pièces situé entre les 2 plateaux Vallons et Aghien : 01 séjour 01 cuisine 04 chambres dont une avec toilette externe 01 dépendance 01 guérite 01 j...
20.000,,1,2,50.00,Studio americain meublé disponible à la riviera M’badon ambassade de chine composé comme suit: -1 Petit salon – 1 grande chambre autonome climatisée...
20.000,,1,1,30.00,"Studio américain meublé disponible à la Riviera 2, Station First Petroleum composé comme suit : — une chambre lumineuse climatisée — Un salon équipé, — TV conne..."
600.000,BLÉ,6,6,"1,000.00","Magnifique Villa en location meublée – Deux plateaux Vallons – 600 000 FCFA par jour. La magnifique VILLA LeMan, située dans le prestigieux quartier des Deux-Pl..."
60.000,Christelle TOURE,2,2,120.00,"Appartement meublé cosy située au 3e étage d’une résidence en bordure de voie composé de : 1 sas, 1 séjour avec balcon, 1 cuisine, 2 chambres autonomes a..."
650.000,Charles Boga,3,3,200.00,"LOCATION D,UNE VILLA DUPLEX DE 4 PIÈCES DE HAUT STANDING À COCODY ANGRÉ Djorogobité Caractéristiques: -1 salon – 3 chambres autonomes – 1 cuisine. -..."
210.000,Charles Boga,3,2,160.00,LOCATION APPARTEMENT – ADDOHA – LOCODJRO – (Yopougon) 4 PIÈCES : 3 Chambres – 1 Salon Un appartement neuf avec un ascenseur. Caractérist...
4.118.000,Batirici Immobilier Gestion,N/A,N/A,N/A,"BUREAU DE 11 POSTES Au cœur du plateau d’Abidjan, bénéficiez d’un espace de bureaux pouvant contenir 11 postes situé au 6 ou 7 ème étage de l’..."
3.500.000,Maury Sylla,5,7,350.00,"Villa duplex de 8 pièces avec jardin et piscine en location à la Riviera M’badon . La villa est composée de 5 chambres , 2 séjours , un bureau , un jardin , une..."
7.000.000,Vinci-dsk holding ©,13,9,"2,500.00",🚨🚨🚨 #COCODY DANGA Location d’une grande villa Duplex bâti sur +2500m2 comprenant de 15 spacieuses pièces + dépendance et garage +10 véhicules DISPONIBLE à...
4.500.000,Vinci-dsk holding ©,8,8,N/A,🚨🚨🚨 #2PLATEAUX VALLON #BORDURE VOIE Villa duplex de 10 pièces avec piscine et grand jardin en location aux 2 plateaux vallon. La villa est composée de 6 chambre...
6.000.000,Charles Boga,16,16,"1,100.00",Une Villa Triplex 23 pièces de haut standing à louer à Cocody Riviera 3 Superficie: 1106 mètre carré. Capacité du garage: 5 Voitures Condition:2 mois de caution...
10.000.000,Vinci-dsk holding ©,N/A,N/A,"7,500.00",🚨🚨🚨 #VRIDI ZONE PORTUAIRE *LOCATION DE TERRAINS NUS EN ZONE PORTUAIRE* *SECTEUR: zone portuaire vers la gendarmerie du port*. – Deux terrains nus proche l...
200.000,ERIC ASSA,2,2,120.00,YAMOUSSOUKRO 3 pieces de standing sur un R+2 tres spacieuses les pieces sont équipées en climatisation garage interne sécurisé
1.000.000,Constant Koffi,2,3,100.00,Riviera 4 Nouveaux appartements de standing (type F3 et F4) sont disponibles pour location dans un immeuble sécurisé avec ascenseur et groupe électrogène à COCO...
15.000,,1,1,15.00,Cozy résidence meublée à angré 9ème tranche.15000 FCFA/J Caractéristiques de la résidence: -cuisine entièrement équipée -balcon pour prendre de l’air frai...
2.500.000,Constant Koffi,4,5,150.00,"À 15min du pont HKB, 9min de l’école Jacques Prévert, 10 min du lycée américain et 11min du lycée français, Mise en location dans un cadre de rêve des con..."
1.000.000,ATOME,1,1,100.00,"Nous vous proposons pour vos courts et longs séjours, 2 appartements meublés de haut standing situés à la Riviera non loin du super marché Cap Nord. Comprenant..."
1.400.000,ATOME,3,3,200.00,n location des appartements de 4 pièces dans un immeuble situé à la Riviera non loin du supermarché CAP NORD. Chaque appartement comprend : – Un grand sal...
4.500.000,ATOME,8,8,"2,500.00","En location à la Riviera golf 4 dans une cité sécurisée située près des écoles internationales, une villa Duplex de 8 pièces de bon standing. Possibilité de lou..."
600.000,ATOME,3,3,200.00,"Nous mettons en location dans un immeuble R+6 de bon standing avec une très belle vue, des appartements neufs de 2,3 et 4 pièces situés à la Riviera 4 M’b..."
3.500.000,,4,6,325.00,"Nous vous proposons un très appartement à louer à Marcory zone 4. L’appartement est composée de : Une très très grande chambre et les autres également , 2..."
